shotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,shooterName,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,shotAngle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,shotDistance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,speedFromLastEvent,team,teamCode,time,timeDifferenceSinceChange,timeSinceFaceoff,timeSinceLastEvent,timeUntilNextEvent,xCord,xCordAdjusted,xFroze,xGoal,xPlayContinuedInZone,xPlayContinuedOutsideZone,xPlayStopped,xRebound,xShotWasOnGoal,yCord,yCordAdjusted
1115,65,-24,24,-7,7,0,0,0,0,5,NJD,0,11,11,11,11,11,11,2,3,11,11,11,11,11,11,11,11,11,11,11,11,25,SHOT,20014,0,8475883,Frederik Andersen,0,0,0,5,CAR,1,1,120,0,0,FAC,0,0,HOME,0,0,0,0,Neu. Zone,1,2,91,0,C,2025,R,Dawson Mercer,8482110,11,11,11,11,11,11,11,11,2,3,11,11,11,11,11,11,11,11,11,11,11,11,6.14662566,6.14662566,0,0,0,65.37583651,0,0,0,1,0,0,0,0,TIP,1,2.272727273,AWAY,NJD,1211,0,11,11,4,-24,24,0.187517132,0.008792605,0.26600018,0.490012867,0.030240806,0.0174364,0.864851,-7,7
1116,32,-65,65,-21,21,-1.4,0,0,0,5,NJD,0,52.2,63,47,45,34.33333333,39.4,2,3,64,64,47,64,47,47,9,62,47,9,9,9,122.5438697,MISS,20014,0,8475883,Frederik Andersen,0,0,0,5,CAR,1,1,132,0,0,GIVE,0,0,AWAY,44,-44,35,-35,HOMEZONE,0,2,86,0,C,2025,L,Jack Hughes,8481559,47,47,38,47,47,32,32,38,2,3,47,47,47,47,47,47,2,47,47,2,2,2,41.18592517,41.18592517,0,0,0,31.89043744,0,0,0,0,1,0,0,0,WRIST,0,11.14035179,AWAY,NJD,1314,-7,47,11,5,-65,65,0.154756,0.0396387,0.382126,0.366289,0.0219774,0.0352133,0.729458,-21,21
1117,40,-52,52,14,14,0,0,120,90,4,NJD,0,43.8,64.5,30,30,30,30,2,3,99,99,30,30,30,30,30,30,30,30,30,30,53.85164807,SHOT,20014,0,8475883,Frederik Andersen,0,0,0,5,CAR,1,1,136,0,0,DELPEN,0,0,HOME,0,0,0,0,HOMEZONE,0,2,91,0,C,2025,R,Dawson Mercer,8482110,30,30,30,30,30,30,30,30,2,2,30,30,30,30,30,30,30,30,30,30,30,30,-20.72555887,20.72555887,0,0,0,39.56008089,0,0,0,0,1,0,0,0,SNAP,1,13.46291202,AWAY,NJD,1349,0,30,4,1,-52,52,0.131994,0.0642241,0.200602,0.558448,0.0236207,0.0211106,0.742628,14,-14
1119,27,-66,66,-14,14,-1.5,0,120,27,4,NJD,0,37.5,13,13,62,62,37.5,2,2,62,15,15,62,62,62,11,11,11,62,62,11,146.4137972,MISS,20014,0,8475883,Frederik Andersen,0,120,58,4,CAR,1,1,143,0,0,MISS,0,0,HOME,80,-80,-3,3,HOMEZONE,0,2,86,20,C,2025,L,Jack Hughes,8481559,62,62,36,10,10,62,62,36,2,2,62,19,19,62,62,62,1,1,1,62,62,1,31.32869287,31.32869287,0,0,0,26.92582404,0,0,0,0,1,0,0,0,SNAP,0,18.30172465,AWAY,NJD,1412,-10,62,8,28,-66,66,0.142075,0.105888,0.238822,0.447351,0.0290026,0.0368624,0.805214,-14,14
1120,15,-76,76,8,8,-7.25,0,0,0,5,NJD,0,31.25,41,41,21.5,21.5,31.25,2,2,43,43,43,23,23,43,20,39,39,20,20,20,24.16609195,SHOT,20014,0,8475883,Frederik Andersen,0,120,30,4,CAR,1,1,144,0,0,MISS,31.32869287,26.92582404,AWAY,-66,66,-14,14,HOMEZONE,1,2,13,86,C,2025,L,Nico Hischier,8480002,19,19,24,38,38,14.66666667,14.66666667,24,2,3,47,47,47,24,24,47,1,29,29,1,1,1,-31.60750225,31.60750225,62.93619511,2.247721254,1,15.26433752,0,0,0,0,1,0,0,0,BACK,1,0.863074712,AWAY,NJD,1440,-19,90,28,6,-76,76,0.129872683,0.00722198,0.542001291,0.242514111,0.020460759,0.057929148,0.740237,8,-8
1126,28,73,73,-23,23,0,0,120,97,4,NJD,0,23,23,13,23,13,13,1,4,23,23,13,23,13,13,23,23,13,23,13,13,30.41381265,SHOT,20014,0,8475883,Frederik Andersen,0,0,0,5,CAR,1,1,161,0,0,SHOT,0,0,HOME,46,46,-9,-9,AWAYZONE,0,2,16,27,R,2025,R,Connor Brown,8477015,23,13,35,35,13,35,13,13,2,2,47,47,13,47,13,13,23,23,13,23,13,13,-55.17551084,55.17551084,0,0,0,28.01785145,0,0,0,1,0,0,0,0,SNAP,1,2.534484388,AWAY,NJD,1574,0,13,12,29,73,73,0.0905868,0.025917,0.242158,0.598776,0.0182698,0.0242926,0.764067,-23,-23
1129,20,-70,70,-7,7,2.4,0,0,0,5,NJD,0,35.2,26.5,26.5,41,41,35.2,2,3,43,42,42,43,43,43,11,11,11,39,39,11,143.2236014,GOAL,20014,1,8475883,Frederik Andersen,0,0,0,5,CAR,1,1,166,0,0,MISS,0,0,HOME,73,-73,-15,15,HOMEZONE,1,2,7,20,D,2025,R,Dougie Hamilton,8476462,40,40,37.6,41,41,35.33333333,35.33333333,37.6,2,3,42,42,42,41,41,42,24,40,40,24,24,24,20.22485943,20.22485943,0,0,0,20.24845673,0,0,0,0,0,0,0,0,BACK,1,2.702332102,AWAY,NJD,1695,13,134,53,0,-70,70,0.1135286,0.045377426,0.437342779,0.339107508,0.016697423,0.047946208,0.677003,-7,7
1135,28,-67,67,-18,18,8.4,0,0,0,5,NJD,1,20.4,25.5,25.5,17,17,20.4,2,3,45,45,45,25,25,45,6,6,6,7,7,6,85.44003745,SHOT,20014,0,8475883,Frederik Andersen,0,0,0,5,CAR,2,1,189,0,0,GIVE,0,0,AWAY,15,-15,-42,42,HOMEZONE,0,2,28,0,R,2025,L,Timo Meier,8478414,24,24,28.8,36,36,24,24,28.8,2,3,36,36,36,25,25,36,23,36,36,23,23,23,39.28940686,39.28940686,0,0,0,28.42534081,0,0,0,1,0,0,0,0,WRIST,1,10.68000468,AWAY,NJD,1964,17,137,8,6,-67,67,0.158376,0.0687223,0.367139,0.341406,0.0208689,0.0434878,0.756908,-18,18
1137,33,-61,61,-17,17,-3.2,0,0,0,5,NJD,1,46.8,65,65,34.66666667,34.66666667,46.8,2,3,76,76,76,46,46,76,20,54,54,20,20,20,100.3194896,GOAL,20014,1,8475883,Frederik Andersen,0,0,0,5,CAR,2,1,196,0,0,GIVE,0,0,HOME,39,-39,-25,25,HOMEZONE,1,2,12,0,C,2025,R,Cody Glass,8479996,9,9,43.6,54,54,36.66666667,36.66666667,43.6,2,3,106,106,106,94,94,106,2,2,2,7,7,2,31.26373169,31.26373169,0,0,0,32.75667871,0,0,0,0,0,0,0,0,SNAP,1,7.716883818,AWAY,NJD,2034,-18,207,13,0,-61,61,0.168755,0.0698429,0.384679,0.317558,0.0209464,0.0382176,0.737172,-17,17
1138,40,-69,69,-35,35,0,0,0,0,5,NJD,2,10,10,10,10,10,10,2,3,10,10,10,10,10,10,10,10,10,10,10,10,19.23538406,SHOT,20014,0,8475883,Frederik Andersen,0,0,0,5,CAR,2,1,201,0,0,GIVE,0,0,HOME,-88,88,-32,32,HOMEZONE,0,2,28,0,R,2025,L,Timo Meier,8478414,10,10,17.2,28,10,10,10,10,2,3,29,29,10,10,10,10,10,27,10,10,10,10,60.2551187,60.2551187,0,0,0,40.31128874,0,1,0,0,0,0,0,0,WRIST,1,9.617692031,AWAY,NJD,2061,0,10,2,2,-69,69,0.236456,0.0216057,0.382549,0.301163,0.0213348,0.0368911,0.749578,-35,35
