shotID,arenaAdjustedShotDistance,arenaAdjustedXCord,arenaAdjustedXCordABS,arenaAdjustedYCord,arenaAdjustedYCordAbs,averageRestDifference,awayEmptyNet,awayPenalty1Length,awayPenalty1TimeLeft,awaySkatersOnIce,awayTeamCode,awayTeamGoals,defendingTeamAverageTimeOnIce,defendingTeamAverageTimeOnIceOfDefencemen,defendingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,defendingTeamAverageTimeOnIceOfForwards,defendingTeamAverageTimeOnIceOfForwardsSinceFaceoff,defendingTeamAverageTimeOnIceSinceFaceoff,defendingTeamDefencemenOnIce,defendingTeamForwardsOnIce,defendingTeamMaxTimeOnIce,defendingTeamMaxTimeOnIceOfDefencemen,defendingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMaxTimeOnIceOfForwards,defendingTeamMaxTimeOnIceOfForwardsSinceFaceoff,defendingTeamMaxTimeOnIceSinceFaceoff,defendingTeamMinTimeOnIce,defendingTeamMinTimeOnIceOfDefencemen,defendingTeamMinTimeOnIceOfDefencemenSinceFaceoff,defendingTeamMinTimeOnIceOfForwards,defendingTeamMinTimeOnIceOfForwardsSinceFaceoff,defendingTeamMinTimeOnIceSinceFaceoff,distanceFromLastEvent,event,game_id,Goal,goalieIdForShot,goalieNameForShot,homeEmptyNet,homePenalty1Length,homePenalty1TimeLeft,homeSkatersOnIce,homeTeamCode,homeTeamGoals,homeTeamWon,id,isHomeTeam,isPlayoffGame,lastEventCategory,lastEventShotAngle,lastEventShotDistance,lastEventTeam,lastEventxCord,lastEventxCord_adjusted,lastEventyCord,lastEventyCord_adjusted,location,offWing,Period,playerNumThatDidEvent,playerNumThatDidLastEvent,playerPositionThatDidEvent,season,shooterLeftRight,Shooter Name,Shooter Position,shooterPlayerId,shooterTimeOnIce,shooterTimeOnIceSinceFaceoff,shootingTeamAverageTimeOnIce,shootingTeamAverageTimeOnIceOfDefencemen,shootingTeamAverageTimeOnIceOfDefencemenSinceFaceoff,shootingTeamAverageTimeOnIceOfForwards,shootingTeamAverageTimeOnIceOfForwardsSinceFaceoff,shootingTeamAverageTimeOnIceSinceFaceoff,shootingTeamDefencemenOnIce,shootingTeamForwardsOnIce,shootingTeamMaxTimeOnIce,shootingTeamMaxTimeOnIceOfDefencemen,shootingTeamMaxTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMaxTimeOnIceOfForwards,shootingTeamMaxTimeOnIceOfForwardsSinceFaceoff,shootingTeamMaxTimeOnIceSinceFaceoff,shootingTeamMinTimeOnIce,shootingTeamMinTimeOnIceOfDefencemen,shootingTeamMinTimeOnIceOfDefencemenSinceFaceoff,shootingTeamMinTimeOnIceOfForwards,shootingTeamMinTimeOnIceOfForwardsSinceFaceoff,shootingTeamMinTimeOnIceSinceFaceoff,Shot Angle,shotAngleAdjusted,shotAnglePlusRebound,shotAnglePlusReboundSpeed,shotAngleReboundRoyalRoad,Shot Distance,shotGeneratedRebound,shotGoalieFroze,shotOnEmptyNet,shotPlayContinuedInZone,shotPlayContinuedOutsideZone,shotPlayStopped,shotRebound,shotRush,shotType,shotWasOnGoal,speedFromLastEvent,Team,Team Code,Time,timeDifferenceSinceChange,timeSinceFaceoff,timeSinceLastEvent,timeUntilNextEvent,xCord,xCordAdjusted,xFroze,Probability of Goal,xPlayContinuedInZone,xPlayContinuedOutsideZone,xPlayStopped,xRebound,xShotWasOnGoal,yCord,yCordAdjusted
55574,20,-74,74,13,13,0,0,0,0,5,COL,0,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,10.29563014,SHOT,20653,0,8475809,Scott Wedgewood,0,0,0,5,CAR,0,0,25,1,0,FAC,0,0,AWAY,-69,69,22,-22,AWAYZONE,1,1,20,0,C,2025,L,Sebastian Aho,Forward,8478427,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,-40.91438322,40.91438322,0,0,0,19.84943324,1,0,0,0,0,0,0,0,TIP,1,3.431876714,HOME,CAR,189,0,3,3,1,-74,74,0.268135411,0.041878035,0.351562863,0.255724604,0.031393756,0.051305276,0.548365,13,-13
26776,21,80,80,-19,19,-1.4,0,0,0,5,CAR,1,24.4,25,17.5,24,24,21.4,2,3,39,39,24,24,24,24,11,11,11,24,24,11,82.22530024,SHOT,20317,0,8482661,Jesper Wallstedt,0,0,0,5,MIN,3,1,233,0,0,FAC,0,0,AWAY,0,0,0,0,HOMEZONE,0,3,26,0,D,2025,R,Sean Walker,Defenseman,8480336,39,24,32,21.5,14,39,24,20,2,3,39,39,24,39,24,24,4,4,4,39,24,4,-64.65382406,64.65382406,0,0,0,21.02379604,0,0,0,1,0,0,0,0,WRIST,1,3.426054177,AWAY,CAR,2439,-7,24,24,11,80,80,0.127598,0.0270827,0.446478,0.33166,0.020895,0.0462856,0.727083,-19,-19
43454,59,-31,31,-11,11,2,0,0,0,5,PHI,2,22.4,24.5,24.5,21,21,22.4,2,3,28,27,27,28,28,28,14,22,22,14,14,14,113,SHOT,20510,0,8478435,Dan Vladar,0,0,0,5,CAR,2,1,319,1,0,SHOT,0,0,AWAY,81,-81,4,-4,AWAYZONE,0,3,21,14,D,2025,L,Alexander Nikishin,Defenseman,8482100,29,29,24.4,28.5,28.5,21.66666667,21.66666667,24.4,2,3,29,29,29,28,28,29,10,28,28,10,10,10,10.7388971,10.7388971,0,0,0,59.03388857,0,0,0,0,1,0,0,0,SLAP,1,3.424242424,HOME,CAR,3561,-4,73,33,6,-31,31,0.159464,0.017763,0.430904,0.332384,0.0206851,0.0387998,0.626389,-11,11
38022,59,-46,46,-40,40,-16.4,0,0,0,5,NSH,3,39.8,46,46,35.66666667,33.33333333,38.4,2,3,53,46,46,53,46,46,8,46,46,8,8,8,126.6491216,MISS,20447,0,8481020,Justus Annunen,0,0,0,5,CAR,6,1,328,1,0,BLOCK,0,0,AWAY,76,-76,-6,6,AWAYZONE,0,3,4,0,D,2025,L,Shayne Gostisbehere,Defenseman,8476906,29,29,22,27,27,18.66666667,18.66666667,22,2,3,29,29,29,28,28,29,8,25,25,8,8,8,42.92996935,42.92996935,42.92996935,1.160269442,0,58.72818744,0,1,0,0,0,0,0,0,WRIST,0,3.422949232,HOME,CAR,3301,0,46,37,2,-46,46,0.203523,0.00622314,0.446966,0.295848,0.0241749,0.0232649,0.705441,-40,40
49459,9.055385138,80,80,1,1,19.75,0,120,19,4,FLA,0,30.25,41.5,33.5,19,19,26.25,2,2,62,62,46,21,21,46,17,21,21,17,17,17,75.29276194,MISS,20581,0,8475683,Sergei Bobrovsky,0,0,0,5,CAR,2,0,190,1,0,HIT,0,0,HOME,15,15,-37,-37,AWAYZONE,1,2,22,0,C,2025,R,Logan Stankoven,Forward,8482702,46,46,51.8,46,46,53.25,46,46,1,4,61,46,46,61,46,46,46,46,46,46,46,46,6.340191746,6.340191746,0,0,0,9.055385138,0,0,0,1,0,0,0,0,SNAP,0,3.42239827,HOME,CAR,2073,29,46,22,13,80,80,0.132708,0.226024,0.341774,0.187993,0.0203933,0.0911076,0.900936,1,1
73562,52,-52,52,-36,36,0,0,0,0,5,CAR,2,37,29,29,42.33333333,29,29,2,3,54,29,29,54,29,29,29,29,29,36,29,29,92.08691547,GOAL,20864,1,8483532,Clay Stevenson,0,0,0,5,WSH,0,1,151,0,0,HIT,0,0,HOME,0,0,40,-40,HOMEZONE,0,2,4,0,D,2025,L,Shayne Gostisbehere,Defenseman,8476906,65,29,42.2,47,29,39,29,29,2,3,65,65,29,57,29,29,29,29,29,29,29,29,44.2151754,44.2151754,0,0,0,51.623638,0,0,0,0,0,0,0,0,SNAP,1,3.410626499,AWAY,CAR,1456,0,29,27,0,-52,52,0.219347,0.0108604,0.402437,0.313954,0.0244051,0.0289955,0.768138,-36,36
21905,24,77,77,-21,21,-15.4,0,0,0,5,WSH,2,54.2,88.5,66,31.33333333,31.33333333,45.2,2,3,97,97,66,32,32,66,31,80,66,31,31,31,23.85372088,SHOT,20259,0,8480313,Logan Thompson,0,0,0,5,CAR,1,0,182,1,0,HIT,0,0,AWAY,97,97,-8,-8,AWAYZONE,1,2,37,0,R,2025,L,Andrei Svechnikov,Forward,8480830,31,31,29.8,30,30,29.66666667,29.66666667,29.8,2,3,31,31,31,31,31,31,28,29,29,28,28,28,-60.2551187,60.2551187,0,0,0,24.18677324,0,0,0,1,0,0,0,0,WRIST,1,3.407674412,HOME,CAR,2102,-3,66,7,3,77,77,0.10786,0.0304549,0.513629,0.276375,0.0201987,0.0514832,0.682126,-21,-21
8139,28,61,61,-3,3,-6.8,0,0,0,5,CAR,1,45.6,53,53,40.66666667,40.66666667,45.6,2,3,53,53,53,53,53,53,16,53,53,16,16,16,27.20294102,MISS,20097,0,8481033,Akira Schmid,0,0,0,5,VGK,2,1,247,0,0,MISS,14.5742162,51.66236541,AWAY,39,39,13,13,HOMEZONE,0,3,26,19,D,2025,R,Sean Walker,Defenseman,8480336,18,18,38.8,17.5,17.5,53,53,38.8,2,3,53,18,18,53,53,53,17,17,17,53,53,17,-6.115503566,6.115503566,20.68971976,2.586214971,1,28.16025568,0,0,0,0,1,0,0,0,WRIST,0,3.400367627,AWAY,CAR,2732,1,53,8,34,61,61,0.105939,0.0680674,0.468201,0.283394,0.0168895,0.0575089,0.680259,-3,-3
37997,5.099019514,84,84,-1,1,0,0,120,82,4,NSH,0,40,42,38,38,38,38,2,2,46,46,38,38,38,38,38,38,38,38,38,38,64.49806199,SHOT,20447,0,8477424,Juuse Saros,0,0,0,5,CAR,4,1,247,1,0,HIT,0,0,AWAY,28,28,-33,-33,AWAYZONE,1,2,71,0,L,2025,L,Taylor Hall,Forward,8475791,38,38,38,38,38,38,38,38,1,4,38,38,38,38,38,38,38,38,38,38,38,38,-11.30993247,11.30993247,0,0,0,5.099019514,0,0,0,1,0,0,0,0,SNAP,1,3.394634841,HOME,CAR,2380,0,38,19,18,84,84,0.146438,0.305014,0.285338,0.147451,0.0162994,0.0994603,0.94187,-1,-1
50492,33,-64,64,22,22,0,0,0,0,5,DET,1,20,20,20,20,20,20,2,3,20,20,20,20,20,20,20,20,20,20,20,20,67.67569726,SHOT,20593,0,8476434,John Gibson,0,0,0,5,CAR,3,1,242,1,0,FAC,0,0,AWAY,0,0,0,0,AWAYZONE,0,3,53,0,R,2025,R,Jackson Blake,Forward,8482809,20,20,20,20,20,20,20,20,2,3,20,20,20,20,20,20,20,20,20,20,20,20,-41.34777722,41.34777722,0,0,0,33.30165161,0,0,0,0,1,0,0,0,WRIST,1,3.383784863,HOME,CAR,2420,0,20,20,17,-64,64,0.184524,0.0289996,0.425516,0.303138,0.0210599,0.036762,0.735519,22,-22
